bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b6_V14,b6,V14,Cingulum_Frontal_Parietal_R : AreaOfEndRegion1,AreaOfEndRegion1,Cingulum_Frontal_Parietal_R,lgrg,0.107666514
b6_V15,b6,V15,Cingulum_Frontal_Parietal_R : RadiusOfEndRegion1,RadiusOfEndRegion1,Cingulum_Frontal_Parietal_R,lgrg,0.082538112
b6_V16,b6,V16,Cingulum_Frontal_Parietal_R : IrregularityofEndRegion1,IrregularityofEndRegion1,Cingulum_Frontal_Parietal_R,lgrg,0.070475618
b6_V17,b6,V17,Cingulum_Frontal_Parietal_R : AreaOfEndRegion2,AreaOfEndRegion2,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V18,b6,V18,Cingulum_Frontal_Parietal_R : RadiusOfEndRegion2,RadiusOfEndRegion2,Cingulum_Frontal_Parietal_R,lgrg,0.096890215
b6_V19,b6,V19,Cingulum_Frontal_Parietal_R : IrregularityofEndRegion2,IrregularityofEndRegion2,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V20,b6,V20,Cingulum_Frontal_Parietal_R : qa,qa,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V21,b6,V21,Cingulum_Frontal_Parietal_R : nqa,nqa,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V22,b6,V22,Cingulum_Frontal_Parietal_R : dti_fa,dti_fa,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V23,b6,V23,Cingulum_Frontal_Parietal_R : md,md,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V24,b6,V24,Cingulum_Frontal_Parietal_R : ad,ad,Cingulum_Frontal_Parietal_R,lgrg,0.104278994
b6_V25,b6,V25,Cingulum_Frontal_Parietal_R : rd,rd,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V26,b6,V26,Cingulum_Frontal_Parietal_R : gfa,gfa,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V27,b6,V27,Cingulum_Frontal_Parietal_R : iso,iso,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V28,b6,V28,Cingulum_Frontal_Parietal_R : rdi,rdi,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V29,b6,V29,Cingulum_Frontal_Parietal_R : nrdi02L,nrdi02L,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V30,b6,V30,Cingulum_Frontal_Parietal_R : nrdi04L,nrdi04L,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V31,b6,V31,Cingulum_Frontal_Parietal_R : nrdi06L,nrdi06L,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b7_V1,b7,V1,Cingulum_Parahippocampal_L : NumberOfTracts,NumberOfTracts,Cingulum_Parahippocampal_L,lgrg,0.126974209
