bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b11_V6,b11,V6,Cingulum_Rarolfactory_L : Diameter,Diameter,Cingulum_Rarolfactory_L,lgrg,0
b15_V23,b15,V23,Corpus_Callosum_Forceps_Minor : md,md,Corpus_Callosum_Forceps_Minor,lgrg,0
b48_V29,b48,V29,Vertical_Occipital_Fasciculus_L : nrdi02L,nrdi02L,Vertical_Occipital_Fasciculus_L,lgrg,0
b30_V16,b30,V16,Parietal_Aslant_Tract_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Parietal_Aslant_Tract_L,lgrg,10.711863
b38_V18,b38,V18,Thalamic_Radiation_Anterior_L : RadiusOfEndRegion2,RadiusOfEndRegion2,Thalamic_Radiation_Anterior_L,lgrg,0
b44_V29,b44,V29,Thalamic_Radiation_Superior_L : nrdi02L,nrdi02L,Thalamic_Radiation_Superior_L,lgrg,0
b10_V9,b10,V9,Cingulum_Parahippocampal_Parietal_R : BranchVolume,BranchVolume,Cingulum_Parahippocampal_Parietal_R,lgrg,9.259407
b43_V7,b43,V7,Thalamic_Radiation_Posterior_R : Volume,Volume,Thalamic_Radiation_Posterior_R,lgrg,0
b45_V3,b45,V3,Thalamic_Radiation_Superior_R : Span,Span,Thalamic_Radiation_Superior_R,lgrg,0
b16_V1,b16,V1,Corticospinal_Tract_L : NumberOfTracts,NumberOfTracts,Corticospinal_Tract_L,lgrg,0
b49_V18,b49,V18,Vertical_Occipital_Fasciculus_R : RadiusOfEndRegion2,RadiusOfEndRegion2,Vertical_Occipital_Fasciculus_R,lgrg,0
b31_V21,b31,V21,Parietal_Aslant_Tract_R : nqa,nqa,Parietal_Aslant_Tract_R,lgrg,0
b14_V9,b14,V9,Corpus_Callosum_Forceps_Major : BranchVolume,BranchVolume,Corpus_Callosum_Forceps_Major,lgrg,0
b22_V5,b22,V5,Inferior_Fronto_Occipital_Fasciculus_L : Elongation,Elongation,Inferior_Fronto_Occipital_Fasciculus_L,lgrg,0
b5_V18,b5,V18,Cingulum_Frontal_Parietal_L : RadiusOfEndRegion2,RadiusOfEndRegion2,Cingulum_Frontal_Parietal_L,lgrg,0
b24_V20,b24,V20,Inferior_Longitudinal_Fasciculus_L : qa,qa,Inferior_Longitudinal_Fasciculus_L,lgrg,0
b30_V6,b30,V6,Parietal_Aslant_Tract_L : Diameter,Diameter,Parietal_Aslant_Tract_L,lgrg,0
b19_V21,b19,V21,Fornix_R : nqa,nqa,Fornix_R,lgrg,0
b34_V5,b34,V5,Superior_Longitudinal_Fasciculus2_L : Elongation,Elongation,Superior_Longitudinal_Fasciculus2_L,lgrg,11.256534
b32_V8,b32,V8,Superior_Longitudinal_Fasciculus1_L : TrunkVolume,TrunkVolume,Superior_Longitudinal_Fasciculus1_L,lgrg,0
b49_V27,b49,V27,Vertical_Occipital_Fasciculus_R : iso,iso,Vertical_Occipital_Fasciculus_R,lgrg,0
b47_V7,b47,V7,Uncinate_Fasciculus_R : Volume,Volume,Uncinate_Fasciculus_R,lgrg,0
b39_V10,b39,V10,Thalamic_Radiation_Anterior_R : TotalSurfaceArea,TotalSurfaceArea,Thalamic_Radiation_Anterior_R,lgrg,0
b34_V11,b34,V11,Superior_Longitudinal_Fasciculus2_L : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Superior_Longitudinal_Fasciculus2_L,lgrg,0
b34_V17,b34,V17,Superior_Longitudinal_Fasciculus2_L : AreaOfEndRegion2,AreaOfEndRegion2,Superior_Longitudinal_Fasciculus2_L,lgrg,0
b20_V24,b20,V24,Frontal_Aslant_Tract_L : ad,ad,Frontal_Aslant_Tract_L,lgrg,0
b10_V11,b10,V11,Cingulum_Parahippocampal_Parietal_R : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Cingulum_Parahippocampal_Parietal_R,lgrg,0
b13_V2,b13,V2,Corpus_Callosum_Body : MeanLength,MeanLength,Corpus_Callosum_Body,lgrg,17.792586
b48_V24,b48,V24,Vertical_Occipital_Fasciculus_L : ad,ad,Vertical_Occipital_Fasciculus_L,lgrg,0
b41_V9,b41,V9,Thalamic_Radiation_Inferior_R : BranchVolume,BranchVolume,Thalamic_Radiation_Inferior_R,lgrg,0
b18_V30,b18,V30,Fornix_L : nrdi04L,nrdi04L,Fornix_L,lgrg,0
b46_V6,b46,V6,Uncinate_Fasciculus_L : Diameter,Diameter,Uncinate_Fasciculus_L,lgrg,0
b24_V7,b24,V7,Inferior_Longitudinal_Fasciculus_L : Volume,Volume,Inferior_Longitudinal_Fasciculus_L,lgrg,0
b35_V21,b35,V21,Superior_Longitudinal_Fasciculus2_R : nqa,nqa,Superior_Longitudinal_Fasciculus2_R,lgrg,0
b16_V8,b16,V8,Corticospinal_Tract_L : TrunkVolume,TrunkVolume,Corticospinal_Tract_L,lgrg,0
b31_V5,b31,V5,Parietal_Aslant_Tract_R : Elongation,Elongation,Parietal_Aslant_Tract_R,lgrg,0
b19_V22,b19,V22,Fornix_R : dti_fa,dti_fa,Fornix_R,lgrg,0
b8_V4,b8,V4,Cingulum_Parahippocampal_R : Curl,Curl,Cingulum_Parahippocampal_R,lgrg,0
b43_V10,b43,V10,Thalamic_Radiation_Posterior_R : TotalSurfaceArea,TotalSurfaceArea,Thalamic_Radiation_Posterior_R,lgrg,0
b46_V25,b46,V25,Uncinate_Fasciculus_L : rd,rd,Uncinate_Fasciculus_L,lgrg,0
b40_V18,b40,V18,Thalamic_Radiation_Inferior_L : RadiusOfEndRegion2,RadiusOfEndRegion2,Thalamic_Radiation_Inferior_L,lgrg,0
b6_V15,b6,V15,Cingulum_Frontal_Parietal_R : RadiusOfEndRegion1,RadiusOfEndRegion1,Cingulum_Frontal_Parietal_R,lgrg,0
b27_V29,b27,V29,Middle_Longitudinal_Fasciculus_R : nrdi02L,nrdi02L,Middle_Longitudinal_Fasciculus_R,lgrg,0
b36_V13,b36,V13,Superior_Longitudinal_Fasciculus3_L : Irregularity,Irregularity,Superior_Longitudinal_Fasciculus3_L,lgrg,17.974143
